l,HT,COBYLA,L-BFGS-B,SLSQP,NELDER-MEAD
0.5,3.36254,3.36859,3.37043,3.36675,3.36718
1.0,3.69722,3.71463,3.73259,3.73179,3.71547
2.0,4.26795,4.33638,4.41103,4.33636,4.35411
