l,HT,COBYLA,L-BFGS-B,SLSQP
0.5,3.36254139,3.371032,3.375000,3.375000
1.0,3.69722436,3.733055,3.750000,3.750000
2.0,4.26794919,4.418775,4.419023,4.499997
